State,Date,Count
MA,Jul 2018,375
MA,Aug 2018,332
MA,Sep 2018,259
MA,Oct 2018,219
MA,Nov 2018,149
MA,Dec 2018,170
MA,Jan 2019,178
MA,Feb 2019,206
MA,Mar 2019,289
MA,Apr 2019,313
MA,May 2019,332
MA,Jun 2019,348
MA,Jul 2019,394
MA,Aug 2019,354
MA,Sep 2019,314
MA,Oct 2019,230
MA,Nov 2019,177
MA,Dec 2019,147
MA,Jan 2020,193
MA,Feb 2020,240
MA,Mar 2020,333
MA,Apr 2020,344
MA,May 2020,420
MA,Jun 2020,408
MA,Jul 2020,420
MA,Aug 2020,396
MA,Sep 2020,342
MA,Oct 2020,261
MA,Nov 2020,189
MA,Dec 2020,179
MA,Jan 2021,219
MA,Feb 2021,218
MA,Mar 2021,426
MA,Apr 2021,411
MA,May 2021,470
MA,Jun 2021,479
MA,Jul 2021,435
MA,Aug 2021,413
MA,Sep 2021,358
MA,Oct 2021,272
MA,Nov 2021,246
MA,Dec 2021,173
MA,Jan 2022,339
MA,Feb 2022,314
MA,Mar 2022,448
MA,Apr 2022,516
MA,May 2022,571
MA,Jun 2022,569
MA,Jul 2022,619
MA,Aug 2022,565
MA,Sep 2022,479
MA,Oct 2022,381
MA,Nov 2022,295
MA,Dec 2022,256
MA,Jan 2023,303
MA,Feb 2023,356
MA,Mar 2023,489
MA,Apr 2023,532
MA,May 2023,623
MA,Jun 2023,584
MA,Jul 2023,620
MA,Aug 2023,607
NH,Jan 2014,1
NH,Feb 2014,1
NH,Mar 2014,1
NH,Apr 2014,1
NH,May 2014,1
NH,Jun 2014,1
NH,Jul 2014,2
NH,Aug 2014,2
NH,Sep 2014,1
NH,Oct 2014,1
NH,Nov 2014,1
NH,Dec 2014,1
NH,Jan 2015,1
NH,Feb 2015,1
NH,Mar 2015,2
NH,Apr 2015,2
NH,May 2015,2
NH,Jun 2015,2
NH,Jul 2015,3
NH,Aug 2015,3
NH,Sep 2015,2
NH,Oct 2015,2
NH,Nov 2015,2
NH,Dec 2015,2
NH,Jan 2016,2
NH,Feb 2016,3
NH,Mar 2016,4
NH,Apr 2016,5
NH,May 2016,5
NH,Jun 2016,5
NH,Jul 2016,6
NH,Aug 2016,6
NH,Sep 2016,5
NH,Oct 2016,4
NH,Nov 2016,3
NH,Dec 2016,4
NH,Jan 2017,5
NH,Feb 2017,5
NH,Mar 2017,7
NH,Apr 2017,8
NH,May 2017,9
NH,Jun 2017,9
NH,Jul 2017,10
NH,Aug 2017,10
NH,Sep 2017,8
NH,Oct 2017,6
NH,Nov 2017,5
NH,Dec 2017,5
NH,Jan 2018,6
NH,Feb 2018,7
NH,Mar 2018,9
NH,Apr 2018,10
NH,May 2018,11
NH,Jun 2018,11
NH,Jul 2018,12
NH,Aug 2018,12
NH,Sep 2018,10
NH,Oct 2018,8
NH,Nov 2018,6
NH,Dec 2018,6
NH,Jan 2019,7
NH,Feb 2019,8
NH,Mar 2019,11
NH,Apr 2019,12
NH,May 2019,13
NH,Jun 2019,13
NH,Jul 2019,15
NH,Aug 2019,14
NH,Sep 2019,12
NH,Oct 2019,9
